-----SERVER STARTED 2018/09/23 22:18:49 
-----Listening for request on 192.168.1.101:8080
2018/09/23 22:19:36  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/23 22:19:36  192.168.1.102 /home/irv/demos/documentation/.httpd.css 398
2018/09/23 22:19:36  192.168.1.102 /home/irv/demos/documentation/favicon.ico 21230
2018/09/23 22:19:43  192.168.1.102 /home/irv/demos/documentation/platforms.html 4575
2018/09/23 22:19:43  192.168.1.102 /home/irv/demos/documentation/style.css 3971
2018/09/23 22:19:43  192.168.1.102 /home/irv/demos/thumbnails/gtk-logo-rgb.gif 6271
2018/09/23 22:19:43  192.168.1.102 /home/irv/demos/thumbnails/mongoose.png 4497
2018/09/23 22:19:43  192.168.1.102 /home/irv/demos/screenshots/Windows.png 175937
2018/09/23 22:19:44  192.168.1.102 /home/irv/demos/screenshots/broadway.png 516058
2018/09/23 22:19:50  192.168.1.102 /home/irv/demos/screenshots/pi.png 168498
2018/09/23 22:20:07  192.168.1.102 /home/irv/demos/documentation/HowItWorks.html 50935
2018/09/23 22:20:08  192.168.1.102 /home/irv/demos/documentation/style.css 3971
2018/09/23 22:20:08  192.168.1.102 /home/irv/demos/thumbnails/mongoose.png 4497
2018/09/23 22:20:08  192.168.1.102 /home/irv/demos/thumbnails/gnome-run.png 65323
2018/09/23 22:20:08  192.168.1.102 /home/irv/demos/screenshots/example.png 13055
2018/09/23 22:20:08  192.168.1.102 /home/irv/demos/thumbnails/passgrn.png 2669
2018/09/23 22:20:08  192.168.1.102 /home/irv/demos/thumbnails/hint.png 6039
2018/09/23 22:20:08  192.168.1.102 /home/irv/demos/thumbnails/gtk-logo-rgb.gif 6271
2018/09/23 22:20:08  192.168.1.102 /home/irv/demos/screenshots/test84.jpg 21860
2018/09/23 22:20:09  192.168.1.102 /home/irv/demos/screenshots/flo.jpg 37370
2018/09/23 22:20:10  192.168.1.102 /home/irv/demos/thumbnails/cal.png 2544
2018/09/23 22:20:10  192.168.1.102 /home/irv/demos/screenshots/test31.jpg 27476
2018/09/23 22:20:10  192.168.1.102 /home/irv/demos/thumbnails/applications-graphics.png 15688
2018/09/23 22:20:10  192.168.1.102 /home/irv/demos/thumbnails/bug-buddy.png 4675
-----SERVER STARTED 2018/09/24 06:21:00 
-----Listening for request on 192.168.1.101:8080
-----SERVER STARTED 2018/09/24 06:22:05 
-----Listening for request on 192.168.1.101:8080
-----SERVER STARTED 2018/09/24 06:59:49 
-----Listening for request on 192.168.1.101:8080
2018/09/24 06:59:59  192.168.1.101 /home/irv/demos/documentation/ 50935
2018/09/24 06:59:59  192.168.1.101 /home/irv/demos/documentation/.httpd.css 398
2018/09/24 06:59:59  192.168.1.101 /home/irv/demos/documentation/favicon.ico 21230
2018/09/24 06:59:59  192.168.1.101 /home/irv/demos/documentation/favicon.ico 21230
2018/09/24 07:00:03  192.168.1.101 /home/irv/demos/documentation/pango_markup.html 8055
2018/09/24 07:00:03  192.168.1.101 /home/irv/demos/documentation/style.css 3971
